anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,8.22,41.92,16.16,33.70,CIERRE
1967,16.43,33.43,16.98,33.16,CIERRE
1968,8.50,49.86,0.00,41.64,CIERRE
1969,0.01,58.62,16.99,24.38,CIERRE
1970,8.22,33.42,8.50,49.86,COLAPSO
1971,0.01,50.13,8.49,41.37,CIERRE
1972,24.93,16.72,24.65,33.70,COLAPSO
1973,8.22,41.64,33.96,16.18,CIERRE
1974,8.49,41.37,25.47,24.67,CIERRE
1975,8.22,33.42,41.63,16.73,SELVA_HOSTIL
1976,0.01,49.85,8.49,41.64,CIERRE
1977,24.93,33.42,16.98,24.66,CIERRE
1978,33.42,24.94,0.00,41.64,COLAPSO
1979,16.71,33.15,8.49,41.64,COLAPSO
1980,33.14,8.51,16.99,41.37,COLAPSO
1981,16.71,33.16,16.98,33.16,CIERRE
1982,33.42,16.45,16.98,33.16,JARDIN_FERTIL
1983,8.22,41.64,16.98,33.16,CIERRE
1984,16.44,33.42,16.98,33.16,CIERRE
1985,0.01,58.35,0.00,41.64,CIERRE
1986,0.01,41.63,25.47,32.88,CIERRE
1987,24.93,16.72,33.69,24.67,SELVA_HOSTIL
1988,24.93,24.94,8.49,41.64,COLAPSO
1989,16.71,24.93,16.16,42.20,COLAPSO
1990,0.00,66.84,0.00,33.15,CIERRE
1991,8.22,33.42,24.65,33.71,COLAPSO
1992,41.63,8.23,25.47,24.67,JARDIN_FERTIL
1993,33.14,16.73,25.47,24.67,JARDIN_FERTIL
1994,0.00,58.35,0.00,41.64,CIERRE
1995,0.01,58.62,0.01,41.36,CIERRE
1996,16.71,24.94,7.67,50.68,COLAPSO
1997,8.50,33.15,33.96,24.39,SELVA_HOSTIL
1998,16.70,24.94,8.50,49.86,COLAPSO
1999,8.22,50.41,8.50,32.87,CIERRE
2000,24.92,24.94,25.47,24.66,SELVA_HOSTIL
2001,33.42,16.44,25.47,24.67,JARDIN_FERTIL
2002,33.42,8.23,42.17,16.18,SELVA_HOSTIL
2003,0.00,49.86,8.49,41.64,CIERRE
2004,24.93,16.71,8.49,49.86,COLAPSO
2005,33.14,16.72,16.98,33.16,COLAPSO
2006,8.22,41.64,16.98,33.16,CIERRE
2007,0.01,49.85,16.98,33.16,CIERRE
2008,16.71,24.93,8.49,49.86,COLAPSO
2009,16.71,41.64,8.49,33.15,CIERRE
2010,0.00,49.86,25.47,24.67,CIERRE
2011,0.00,49.86,8.49,41.64,CIERRE
2012,0.01,58.35,0.00,41.64,CIERRE
2013,0.00,33.42,24.66,41.92,COLAPSO
2014,0.00,50.13,7.68,42.19,CIERRE
2015,25.21,16.44,25.47,32.89,COLAPSO
2016,24.92,24.94,25.47,24.67,SELVA_HOSTIL
2017,16.43,25.21,25.47,32.88,COLAPSO
2018,16.71,33.16,16.98,33.16,CIERRE
2019,0.00,58.63,8.50,32.87,CIERRE
2020,0.00,50.13,16.16,33.70,CIERRE
2021,0.00,50.41,8.50,41.09,CIERRE
2022,0.01,58.62,16.16,25.21,CIERRE
2023,0.00,50.41,7.68,41.91,CIERRE
2024,0.00,50.41,16.17,33.42,CIERRE
2025,0.01,58.62,16.16,25.21,CIERRE
2026,24.93,25.21,7.68,42.19,COLAPSO
2027,8.21,50.41,8.50,32.88,CIERRE
