t,PowerBase,PowerLive,beta,sigma,noise,band,Th,Tc,Tf,envTemp,stress,LF,deltaStruct,A_sys_env,LF_exp,Lambda_exp,Regimen
47935,0.579,0.685,0.543,1.7,0.0058,1.520,32.501,32.662,31.488,28.196,0.037,0.030,0.588,0.717,0.094,0.004,SOBRECARGA
47940,0.567,0.686,0.543,1.7,0.0058,1.540,32.457,32.618,31.386,28.032,0.038,0.037,0.589,0.722,0.107,0.005,SOBRECARGA
47945,0.555,0.686,0.543,1.7,0.0058,1.560,32.409,32.572,31.291,27.867,0.039,0.045,0.591,0.727,0.119,0.007,SOBRECARGA
47950,0.543,0.684,0.543,1.7,0.0058,1.580,32.358,32.524,31.218,27.702,0.040,0.052,0.594,0.730,0.129,0.008,SOBRECARGA
47955,0.531,0.682,0.543,1.7,0.0058,1.600,32.305,32.474,31.130,27.536,0.041,0.059,0.598,0.733,0.139,0.009,SOBRECARGA
47960,0.519,0.678,0.543,1.7,0.0058,1.620,32.250,32.424,31.061,27.370,0.042,0.065,0.602,0.736,0.147,0.010,SOBRECARGA
47965,0.517,0.674,0.543,1.7,0.0058,1.589,32.191,32.370,30.953,27.203,0.043,0.071,0.608,0.741,0.155,0.011,TRANSICIÓN
47970,0.505,0.669,0.543,1.7,0.0058,1.610,32.128,32.313,30.836,27.036,0.044,0.069,0.615,0.738,0.152,0.011,SOBRECARGA
47975,0.504,0.664,0.543,1.7,0.0058,1.580,32.062,32.255,30.748,26.869,0.044,0.075,0.623,0.741,0.159,0.012,TRANSICIÓN
47980,0.503,0.660,0.543,1.7,0.0058,1.551,31.992,32.194,30.632,26.701,0.045,0.072,0.632,0.738,0.156,0.012,TRANSICIÓN
47985,0.491,0.655,0.543,1.7,0.0058,1.570,31.919,32.130,30.520,26.533,0.046,0.069,0.642,0.735,0.152,0.011,SOBRECARGA
47990,0.490,0.650,0.543,1.7,0.0058,1.542,31.841,32.063,30.389,26.364,0.046,0.075,0.653,0.742,0.159,0.013,TRANSICIÓN
47995,0.489,0.645,0.543,1.7,0.0058,1.513,31.760,31.994,30.272,26.195,0.047,0.071,0.665,0.739,0.155,0.013,TRANSICIÓN
48000,0.477,0.640,0.543,1.7,0.0058,1.530,31.673,31.920,30.124,26.025,0.047,0.069,0.678,0.738,0.151,0.012,SOBRECARGA
48005,0.477,0.635,0.543,1.7,0.0058,1.504,31.583,31.844,29.989,25.855,0.047,0.074,0.692,0.744,0.158,0.014,TRANSICIÓN
48010,0.465,0.630,0.543,1.7,0.0058,1.520,31.488,31.764,29.843,25.684,0.048,0.070,0.707,0.743,0.153,0.014,SOBRECARGA
48015,0.466,0.624,0.543,1.7,0.0058,1.494,31.392,31.683,29.742,25.514,0.048,0.075,0.722,0.748,0.159,0.016,TRANSICIÓN
48020,0.454,0.619,0.543,1.7,0.0058,1.510,31.292,31.598,29.594,25.342,0.049,0.070,0.736,0.747,0.153,0.015,SOBRECARGA
48025,0.455,0.613,0.543,1.7,0.0058,1.484,31.190,31.511,29.464,25.170,0.049,0.075,0.751,0.753,0.159,0.017,TRANSICIÓN
48030,0.465,0.608,0.543,1.7,0.0058,1.490,31.088,31.424,29.366,24.998,0.050,0.070,0.765,0.749,0.153,0.016,RÍGIDO
48035,0.475,0.604,0.543,1.7,0.0058,1.500,30.985,31.336,29.253,24.826,0.051,0.059,0.778,0.752,0.139,0.014,RÍGIDO
48040,0.485,0.601,0.543,1.7,0.0058,1.510,30.882,31.246,29.151,24.653,0.051,0.050,0.790,0.755,0.126,0.012,RÍGIDO
48045,0.495,0.599,0.543,1.7,0.0058,1.520,30.778,31.156,29.039,24.479,0.052,0.042,0.801,0.758,0.114,0.011,RÍGIDO
48050,0.505,0.599,0.543,1.7,0.0058,1.530,30.674,31.065,28.928,24.306,0.053,0.035,0.811,0.762,0.104,0.009,RÍGIDO
48055,0.515,0.600,0.543,1.7,0.0058,1.540,30.567,30.971,28.796,24.131,0.053,0.030,0.822,0.766,0.095,0.008,RÍGIDO
48060,0.525,0.601,0.543,1.7,0.0058,1.550,30.460,30.877,28.679,23.957,0.054,0.025,0.833,0.769,0.086,0.007,RÍGIDO
48065,0.535,0.603,0.543,1.7,0.0058,1.560,30.351,30.781,28.560,23.782,0.054,0.021,0.842,0.773,0.078,0.006,RÍGIDO
48070,0.545,0.606,0.543,1.7,0.0058,1.570,30.241,30.684,28.438,23.607,0.055,0.018,0.852,0.777,0.071,0.005,RÍGIDO
48075,0.555,0.610,0.543,1.7,0.0058,1.580,30.132,30.586,28.329,23.431,0.056,0.015,0.861,0.779,0.065,0.005,RÍGIDO
48080,0.565,0.615,0.543,1.7,0.0058,1.590,30.023,30.488,28.233,23.255,0.056,0.013,0.869,0.781,0.060,0.004,RÍGIDO
48085,0.575,0.620,0.543,1.7,0.0058,1.600,29.916,30.391,28.143,23.078,0.057,0.011,0.875,0.783,0.055,0.003,RÍGIDO
48090,0.585,0.625,0.543,1.7,0.0058,1.610,29.810,30.294,28.054,22.901,0.058,0.009,0.880,0.784,0.050,0.003,RÍGIDO
48095,0.595,0.632,0.543,1.7,0.0058,1.620,29.703,30.196,27.932,22.724,0.059,0.008,0.886,0.788,0.047,0.003,RÍGIDO
48100,0.605,0.638,0.543,1.7,0.0058,1.630,29.597,30.098,27.844,22.547,0.060,0.007,0.890,0.789,0.043,0.002,RÍGIDO
48105,0.615,0.645,0.543,1.7,0.0058,1.640,29.494,30.002,27.767,22.369,0.061,0.006,0.893,0.789,0.040,0.002,RÍGIDO
48110,0.625,0.653,0.543,1.7,0.0058,1.650,29.392,29.906,27.681,22.190,0.062,0.005,0.895,0.790,0.038,0.002,RÍGIDO
48115,0.635,0.660,0.543,1.7,0.0058,1.660,29.289,29.809,27.573,22.012,0.063,0.005,0.897,0.793,0.035,0.002,RÍGIDO
48120,0.645,0.668,0.543,1.7,0.0058,1.670,29.190,29.714,27.514,21.833,0.064,0.004,0.897,0.792,0.033,0.001,RÍGIDO
48125,0.655,0.677,0.543,1.7,0.0058,1.680,29.094,29.622,27.458,21.653,0.065,0.004,0.895,0.792,0.032,0.001,RÍGIDO
48130,0.665,0.686,0.543,1.7,0.0058,1.690,29.001,29.531,27.399,21.474,0.067,0.004,0.893,0.791,0.031,0.001,RÍGIDO
48135,0.675,0.695,0.543,1.7,0.0058,1.700,28.907,29.439,27.300,21.294,0.068,0.003,0.890,0.793,0.030,0.001,RÍGIDO
