semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
7,0.2675114471760938,98,0.006073351746386741,0.12437120480541697
3,-0.2310195709686171,3.4,0.0012440576186590363,0.12858775081331134
6,0.14935899932871047,86.4,0.0009370435534723129,0.1317249616575695
1,-0.02575519560445106,41.5,0.0015251279039539798,0.1288786570283023
8,-0.1368561585884534,14.7,-0.0007289460455156551,0.13121285470843533
2,0.2632245924010996,97.7,-0.00007383170170076197,0.12717770464180503
4,-0.12988458544658374,20.2,-0.010990789043524353,0.135100223691141
5,0.155706536572502,85.9,0.006848581482420661,0.13662183608967643
10,0.00024064193786096604,51.2,-0.003408022213866818,0.1299456581186684
9,0.1285560493884202,83.7,-0.0005229587121708105,0.1306495303452808
11,0.007076449170631159,52.2,0.00023565741807635789,0.13035093499237232
12,-0.07336079120103109,31,-0.0035750227302632403,0.13291192275783675
13,-0.23737759816519244,3.5,0.000013332424869109586,0.1322348840137441
14,0.16913370051780346,89.8,-0.004483609405270287,0.13177983545619787
15,-0.12287403908305712,17.2,0.006283242300936304,0.1279655539279468
16,0.02459445685693564,58.1,0.0008707972617460476,0.1347883337317196
17,0.03622896058413175,59.9,0.000339665232356715,0.13187147793353507
19,-0.08078259884969963,28.7,0.000914859379532969,0.1291957952164297
18,0.04544519411717356,63.1,-0.0008253326192224686,0.1303927923578535
22,0.023341621122510568,57.7,-0.0008383702958897891,0.1247399055068582
20,-0.07253167226672648,29.5,0.001194140819098177,0.12403802608837514
21,-0.08140517253962361,25.2,0.007864976315898137,0.1295957799682106
23,-0.09585807541521557,21.5,0.006723252977052883,0.12634206965589015
24,-0.1830697614328481,6.4,-0.0015503256239786122,0.12530709996160042
25,0.12761464994044158,84.1,-0.0031163051131718653,0.12812518294305242
26,0.1472288298380024,88.6,-0.007152303975225067,0.12675927439941656
27,-0.10977921990193157,20.4,0.005411195071968191,0.13436052115088196
28,0.046741849143942464,66.2,-0.0016586776168036543,0.12760187484149998
30,0.11629863835684758,81.5,0.0038810771730670955,0.1288755629573304
29,0.1187817722507343,80.5,-0.00020093142831937316,0.1290202741556455
