bateria,tag,clave,potencia_base,beta,t_optima,exponente_ptc,sigma,modo,n,r_huella_acoplamiento,r_huella_brecha
bateria,B,0.88|6.8|0.3|1,0.3,0.88,25,4.1,6.8,parada,60,0.3665213254429699,0.9407205535956048
bateria,B,0.88|6.8|0.47|1,0.47,0.88,25,4.1,6.8,parada,60,0.37971638194161994,0.9065659180834875
bateria,B,0.88|6.8|0.65|1,0.65,0.88,25,4.1,6.8,parada,60,0.3574145723388493,0.8693631958558046
bateria,B,0.88|8|0.3|1,0.3,0.88,25,4.1,8,parada,60,0.3665213254429699,0.9407205535956048
bateria,B,0.88|8|0.47|1,0.47,0.88,25,4.1,8,parada,60,0.37971638194161994,0.9065659180834875
bateria,B,0.88|8|0.65|1,0.65,0.88,25,4.1,8,parada,60,0.3574145723388493,0.8693631958558046
bateria,B,0.94|3|0.3|1,0.3,0.94,25,4.1,3,parada,60,0.45563459157850306,0.9467201471118386
bateria,B,0.94|3|0.47|1,0.47,0.94,25,4.1,3,parada,60,0.4510399182913113,0.9130339096626157
bateria,B,0.94|3|0.65|1,0.65,0.94,25,4.1,3,parada,60,0.4097705768129476,0.8749465223474646
bateria,B,0.94|5|0.3|1,0.3,0.94,25,4.1,5,parada,60,0.45563459157850306,0.9467201471118386
bateria,B,0.94|5|0.47|1,0.47,0.94,25,4.1,5,parada,60,0.4510399182913113,0.9130339096626157
bateria,B,0.94|5|0.65|1,0.65,0.94,25,4.1,5,parada,60,0.4097705768129476,0.8749465223474646
bateria,B,0.94|6.8|0.3|1,0.3,0.94,25,4.1,6.8,parada,60,0.45563459157850306,0.9467201471118386
bateria,B,0.94|6.8|0.47|1,0.47,0.94,25,4.1,6.8,parada,60,0.4510399182913113,0.9130339096626157
bateria,B,0.94|6.8|0.65|1,0.65,0.94,25,4.1,6.8,parada,60,0.4097705768129476,0.8749465223474646
bateria,B,0.94|8|0.3|1,0.3,0.94,25,4.1,8,parada,60,0.45563459157850306,0.9467201471118386
bateria,B,0.94|8|0.47|1,0.47,0.94,25,4.1,8,parada,60,0.4510399182913113,0.9130339096626157
