semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8305,1100,1,689.0,689,0,689,689,689,689,689,1,0.001451,4.5008e-7,0.98852,0.8912,4.4033,0.2108,4.2842,4.1863,0.3276,37.96686,0.7736,0.001816,0.1074,0.00258,0.00258,0.07788,95,0.2772,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8441,1100,1,735.0,735,0,735,735,735,735,735,1,0.001361,7.6717e-7,1.00185,0.9183,4.3382,0.9928,4.0789,4.1050,0.7352,35.94930,0.7738,0.001674,0.1107,0.00335,0.00335,0.07799,88,0.2736,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8576,1050,1,772.0,772,0,772,772,772,772,772,1,0.001295,2.2270e-7,0.96066,0.8113,4.2882,0.3323,3.9522,4.0627,1.0444,31.95468,0.7643,0.001851,0.1124,0.00302,0.00302,0.07866,93,0.2741,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8712,1000,1,812.0,812,0,812,812,812,812,812,1,0.001232,6.0936e-7,0.97987,0.8366,4.3091,1.1756,4.1380,3.8439,1.3660,32.78468,0.7586,0.001518,0.1135,0.00408,0.00408,0.07741,92,0.2707,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8847,950,1,861.0,861,0,861,861,861,861,861,1,0.001161,1.2674e-6,0.99482,0.9968,4.3062,1.3261,4.1262,4.3751,1.6489,28.17430,0.7505,0.001695,0.1147,0.00356,0.00356,0.07756,97,0.2709,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8983,850,1,900.0,900,0,900,900,900,900,900,1,0.001111,3.3290e-7,0.96178,0.6303,4.3793,1.0851,4.2543,3.8387,1.9276,22.35277,0.7455,0.001910,0.1160,0.00434,0.00434,0.07694,87,0.2711,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9119,750,1,942.0,942,0,942,942,942,942,942,1,0.001062,1.1103e-6,0.97824,0.8813,4.3159,1.4180,3.9772,4.2831,2.2116,22.50654,0.7448,0.001865,0.1167,0.00414,0.00414,0.07736,104,0.2689,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9254,550,1,946.0,946,0,946,946,946,946,946,1,0.001057,1.2026e-6,0.99161,0.9992,4.3453,1.4323,4.2449,4.3351,2.5002,27.42245,0.7503,0.001795,0.1180,0.00508,0.00508,0.07578,110,0.2687,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9390,350,1,927.0,927,0,927,927,927,927,927,1,0.001079,4.3828e-7,1.00065,0.8709,4.3099,0.6873,4.0849,4.2576,2.7388,31.75939,0.7548,0.001538,0.1178,0.00225,0.00225,0.07739,92,0.2660,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9525,150,1,882.0,882,0,882,882,882,882,882,1,0.001134,1.4976e-7,0.97087,0.8709,4.3533,0.3783,4.2597,4.3519,2.7832,25.04542,0.7398,0.001783,0.1144,0.00264,0.00264,0.07870,93,0.2701,banda<=ruido,0
