semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8305,2350,1,692.0,692,0,692,692,692,692,692,1,0.001445,1.0761e-7,0.97916,0.9756,4.3609,0.0000,4.2514,4.1005,0.3625,38.94853,0.7778,0.001652,0.1079,0.00260,0.00260,0.07796,81,0.2753,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8441,2450,1,725.0,725,0,725,725,725,725,725,1,0.001379,4.1407e-7,0.94058,0.6098,4.3423,0.8485,4.3000,3.9074,0.7176,53.22925,0.7719,0.001689,0.1101,0.00443,0.00443,0.07868,96,0.2751,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8576,2600,1,781.0,781,0,781,781,781,781,781,1,0.001280,6.1475e-7,0.98925,0.7219,4.3535,0.9183,4.2696,4.0501,0.9575,26.43608,0.7531,0.001831,0.1107,0.00368,0.00368,0.07839,88,0.2761,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8712,2700,1,824.0,824,0,824,824,824,824,824,1,0.001214,3.6575e-7,0.98378,0.9837,4.3642,0.2864,4.2888,4.2378,1.2393,22.83033,0.7424,0.001889,0.1117,0.00287,0.00287,0.07656,90,0.2742,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8847,2800,1,869.0,869,0,869,869,869,869,869,1,0.001151,4.6040e-7,0.98288,0.8366,4.3897,0.7692,4.3148,4.0229,1.6724,24.07448,0.7532,0.001912,0.1151,0.00328,0.00328,0.07794,96,0.2695,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8983,2850,1,898.0,898,0,898,898,898,898,898,1,0.001114,3.9890e-7,0.99218,0.9264,4.3511,0.9871,4.2458,4.0840,1.9042,27.91012,0.7426,0.001555,0.1150,0.00218,0.00218,0.07696,80,0.2679,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9119,2900,1,929.0,929,0,929,929,929,929,929,1,0.001076,5.5131e-7,0.98764,0.9544,4.3171,0.3843,4.2134,4.3351,2.1633,21.52739,0.7392,0.002002,0.1159,0.00285,0.00285,0.07742,92,0.2687,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9254,2900,1,943.0,943,0,943,943,943,943,943,1,0.001060,1.7020e-6,1.00339,0.9710,4.2994,0.7049,4.2352,4.2859,2.4331,26.50661,0.7421,0.001809,0.1166,0.00419,0.00419,0.07778,101,0.2687,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9390,2850,1,936.0,936,0,936,936,936,936,936,1,0.001068,1.9399e-7,0.99248,0.9968,4.3422,0.0000,4.1895,4.4291,2.6375,24.27932,0.7418,0.001769,0.1157,0.00226,0.00226,0.07744,95,0.2674,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9525,2700,1,886.0,886,0,886,886,886,886,886,1,0.001129,3.0155e-7,0.98692,0.7692,4.3309,0.0000,4.2872,4.2326,2.8536,24.53316,0.7484,0.001836,0.1156,0.00235,0.00235,0.07811,84,0.2686,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9661,2550,1,835.0,835,0,835,835,835,835,835,1,0.001198,2.8568e-7,0.95874,0.8485,4.3005,0.8709,4.2406,4.1489,3.0405,26.70752,0.7543,0.001803,0.1148,0.00315,0.00315,0.07790,87,0.2688,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9797,2400,1,783.0,783,0,783,783,783,783,783,1,0.001277,2.8438e-7,0.97969,0.9950,4.3441,0.5886,4.2885,4.1280,3.1962,27.55473,0.7586,0.001665,0.1135,0.00244,0.00244,0.07851,82,0.2709,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9932,2250,1,729.0,729,0,729,729,729,729,729,1,0.001372,9.1830e-7,0.99769,1.0000,4.3252,0.9604,4.2840,4.3142,3.3148,35.23820,0.7598,0.001801,0.1116,0.00446,0.00446,0.07791,105,0.2744,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0068,2100,1,674.0,674,0,674,674,674,674,674,1,0.001484,5.0552e-7,0.99496,0.9799,4.3578,0.9756,4.2884,4.2369,3.5035,29.24463,0.7709,0.001761,0.1109,0.00303,0.00303,0.07776,95,0.2746,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0203,2000,1,638.0,638,0,638,638,638,638,638,1,0.001567,2.2650e-7,0.97015,0.8912,4.2417,0.0000,4.1804,4.0586,3.6143,29.14352,0.7725,0.001709,0.1084,0.00332,0.00332,0.07703,93,0.2742,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0339,1900,1,601.0,601,0,601,601,601,601,601,1,0.001664,4.8129e-7,0.99984,0.8912,4.2908,0.8242,4.1625,3.9744,3.7664,30.63564,0.7799,0.001799,0.1072,0.00251,0.00251,0.07554,84,0.2778,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0475,1800,1,564.0,564,0,564,564,564,564,564,1,0.001773,2.6042e-7,0.97451,0.9710,4.3319,0.6098,4.3034,4.4030,3.7841,31.73048,0.7710,0.001658,0.1036,0.00252,0.00252,0.07870,94,0.2805,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0610,1700,1,528.0,528,0,528,528,528,528,528,1,0.001894,2.1221e-7,0.98406,0.9544,4.3016,0.9902,4.2246,4.3394,3.9769,29.24406,0.7843,0.001780,0.1030,0.00181,0.00181,0.07836,81,0.2821,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0746,1650,1,508.0,508,0,508,508,508,508,508,1,0.001969,8.7843e-7,0.97564,0.9756,4.2702,0.5436,4.0677,4.1704,4.1001,28.11770,0.7888,0.001967,0.1013,0.00352,0.00352,0.07728,93,0.2845,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0881,1550,1,474.0,474,0,474,474,474,474,474,1,0.002110,8.3560e-7,1.00091,0.9992,4.3994,0.9902,4.3108,4.3491,4.2080,29.36395,0.7920,0.001854,0.0993,0.00281,0.00281,0.07886,91,0.2861,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1017,1500,1,454.0,454,0,454,454,454,454,454,1,0.002203,4.4770e-7,0.99887,0.8485,4.3816,0.8366,4.2677,4.0104,4.3794,28.96165,0.8030,0.001902,0.0984,0.00283,0.00283,0.07830,90,0.2867,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1153,1450,1,434.0,434,0,434,434,434,434,434,1,0.002304,3.1917e-7,0.97594,0.9902,4.3392,0.0000,4.2836,4.3683,4.4702,30.22457,0.8040,0.001823,0.0966,0.00225,0.00225,0.07777,89,0.2902,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1288,1400,1,415.0,415,0,415,415,415,415,415,1,0.002410,3.2242e-7,0.98902,0.8709,4.3564,0.9183,4.2417,4.2761,4.6076,30.93322,0.8111,0.001924,0.0952,0.00219,0.00219,0.07733,92,0.2926,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1424,1350,1,397.0,397,0,397,397,397,397,397,1,0.002519,9.2393e-8,0.94460,0.8912,4.3362,0.0000,4.2853,4.3254,4.7246,36.84849,0.8157,0.001621,0.0934,0.00150,0.00150,0.07852,84,0.2925,banda<=ruido,0
