semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.8305,1700,1,489.0,489,0,489,489,489,489,489,1,0.002045,1.6510e-7,0.96796,0.9413,4.3571,0.0000,4.4345,4.2952,2.3830,7.97255,0.7376,0.001788,0.1307,0.00280,0.00280,0.07761,97,0.0828,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.8441,1650,1,470.0,470,0,470,470,470,470,470,1,0.002128,1.8059e-7,0.98624,0.9968,4.3639,0.0000,4.4704,4.3298,2.5857,9.61140,0.7527,0.001644,0.1306,0.00263,0.00263,0.07760,96,0.0838,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.8576,1550,1,441.0,441,0,441,441,441,441,441,1,0.002268,2.8500e-7,0.97858,0.9998,4.3288,0.0000,4.4647,4.3765,2.6782,8.59917,0.7544,0.001761,0.1282,0.00207,0.00207,0.07691,83,0.0862,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.8712,1500,1,423.0,423,0,423,423,423,423,423,1,0.002364,7.0565e-7,0.99961,0.8113,4.3433,0.0000,4.4436,4.1047,2.8642,10.17224,0.7677,0.001690,0.1274,0.00295,0.00295,0.07692,93,0.0861,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.8847,1450,1,405.0,405,0,405,405,405,405,405,1,0.002469,3.3061e-7,0.95699,0.9007,4.3384,0.0000,4.4283,4.0482,3.0028,9.82059,0.7752,0.001893,0.1261,0.00300,0.00300,0.07843,92,0.0887,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.8983,1350,1,379.0,379,0,379,379,379,379,379,1,0.002639,1.4646e-7,0.98834,0.9982,4.3369,0.0000,4.5123,4.3255,3.0796,8.58407,0.7753,0.001836,0.1236,0.00152,0.00152,0.07828,81,0.0894,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.9119,1300,1,363.0,363,0,363,363,363,363,363,1,0.002755,1.6670e-7,0.99305,0.7049,4.2175,0.0000,4.3516,4.0922,3.1914,10.38912,0.7796,0.001639,0.1217,0.00182,0.00182,0.07770,77,0.0906,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.9254,1250,1,347.0,347,0,347,347,347,347,347,1,0.002882,1.5357e-7,0.98989,0.9604,4.3671,0.5197,4.4812,4.0378,3.4039,8.92199,0.7965,0.001941,0.1218,0.00295,0.00295,0.07769,90,0.0921,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.9390,1250,1,341.0,341,0,341,341,341,341,341,1,0.002933,5.8077e-7,0.98856,0.9968,4.3813,0.5197,4.4991,4.4960,3.4217,10.94830,0.7891,0.001793,0.1185,0.00275,0.00275,0.07825,94,0.0934,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.9525,1200,1,326.0,326,0,326,326,326,326,326,1,0.003067,1.6406e-7,0.96801,0.9837,4.3465,0.0000,4.4090,4.1408,3.6318,13.08722,0.8060,0.001516,0.1178,0.00268,0.00268,0.07845,89,0.0930,banda<=ruido,0
