t,alpha,theta,sigma,beta,noise,CTX,OUT,CHIRAL,N9_eff,e_R,Delta_struct,A_sys_env,LF,LambdaCos,LambdaRaw,ErrorFitness,Regimen
2370,0.573,1.74,4.3,0.446,0.0012,1.393,81.147,0.134955,0.644,0.000223,0.000063,0.128318,0.588266,0.000002,0.021239,0.326013,S.Cerrado
2375,0.573,1.74,4.3,0.446,0.0012,1.392,81.176,0.135335,0.646,0.000226,0.000015,0.128445,0.588551,0.000000,0.004870,0.326030,S.Cerrado
2380,0.573,1.74,4.3,0.446,0.0012,1.391,81.197,0.135679,0.648,0.000222,0.000035,0.128560,0.588809,0.000001,0.011802,0.326005,S.Cerrado
2385,0.573,1.74,4.3,0.446,0.0012,1.391,81.212,0.136077,0.649,0.000222,0.000041,0.128692,0.589107,0.000001,0.013928,0.326007,S.Cerrado
2390,0.573,1.74,4.3,0.446,0.0012,1.390,81.222,0.136186,0.650,0.000227,0.000015,0.128729,0.589190,0.000000,0.005012,0.326036,S.Cerrado
2395,0.573,1.74,4.3,0.446,0.0012,1.390,81.230,0.136362,0.650,0.000221,0.000004,0.128787,0.589321,0.000000,0.001452,0.326000,S.Cerrado
2400,0.573,1.74,4.3,0.446,0.0012,1.390,81.236,0.136552,0.651,0.000217,0.000009,0.128851,0.589464,0.000000,0.003287,0.325972,S.Cerrado
2405,0.573,1.74,4.3,0.446,0.0012,1.390,81.240,0.136566,0.653,0.000220,0.000006,0.128855,0.589474,0.000000,0.002146,0.325995,S.Cerrado
2410,0.573,1.74,4.3,0.446,0.0012,1.390,81.243,0.136607,0.653,0.000228,0.000033,0.128869,0.589505,0.000001,0.011041,0.326044,S.Cerrado
2415,0.573,1.74,4.3,0.446,0.0012,1.390,81.244,0.136712,0.653,0.000218,0.000005,0.128904,0.589584,0.000000,0.001833,0.325978,S.Cerrado
2420,0.573,1.74,4.3,0.446,0.0012,1.389,81.245,0.136691,0.653,0.000219,0.000001,0.128897,0.589568,0.000000,0.000205,0.325989,S.Cerrado
2425,0.573,1.74,4.3,0.446,0.0012,1.389,81.247,0.136734,0.653,0.000219,0.000010,0.128911,0.589601,0.000000,0.003450,0.325988,S.Cerrado
2430,0.573,1.74,4.3,0.446,0.0012,1.389,81.248,0.136775,0.654,0.000223,0.000012,0.128925,0.589631,0.000000,0.004074,0.326009,S.Cerrado
2435,0.573,1.74,4.3,0.446,0.0012,1.389,81.248,0.136801,0.655,0.000225,0.000020,0.128934,0.589651,0.000000,0.006768,0.326021,S.Cerrado
