t,alpha,theta,sigma,beta,noise,CTX,OUT,CHIRAL,N9_eff,Regimen
4430,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105060,0.645,S.Cerrado
4435,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105029,0.644,S.Cerrado
4440,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.104998,0.644,S.Cerrado
4445,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105001,0.644,S.Cerrado
4450,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104902,0.644,S.Cerrado
4455,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104953,0.644,S.Cerrado
4460,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.105014,0.644,S.Cerrado
4465,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104993,0.644,S.Cerrado
4470,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105003,0.644,S.Cerrado
4475,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.104922,0.644,S.Cerrado
4480,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104987,0.644,S.Cerrado
4485,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105009,0.643,S.Cerrado
4490,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.104951,0.644,S.Cerrado
4495,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.104983,0.644,S.Cerrado
4500,0.287,3.13,1.8,0.734,0.0012,1.558,84.117,0.105014,0.644,S.Cerrado
4505,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.105096,0.644,S.Cerrado
4510,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.105064,0.644,S.Cerrado
4515,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.105120,0.643,S.Cerrado
4520,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.105109,0.644,S.Cerrado
4525,0.287,3.13,1.8,0.734,0.0012,1.558,84.117,0.105110,0.644,S.Cerrado
4530,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.105062,0.644,S.Cerrado
4535,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105003,0.643,S.Cerrado
4540,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.105003,0.644,S.Cerrado
4545,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.104978,0.643,S.Cerrado
4550,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.105038,0.642,S.Cerrado
4555,0.287,3.13,1.8,0.734,0.0012,1.559,84.117,0.105121,0.642,S.Cerrado
4560,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.105051,0.643,S.Cerrado
4565,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105007,0.643,S.Cerrado
4570,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105056,0.642,S.Cerrado
4575,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.105060,0.643,S.Cerrado
4580,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104958,0.644,S.Cerrado
4585,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104990,0.644,S.Cerrado
4590,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105017,0.644,S.Cerrado
4595,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105028,0.643,S.Cerrado
4600,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104999,0.643,S.Cerrado
4605,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105050,0.643,S.Cerrado
4610,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.105100,0.642,S.Cerrado
4615,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105016,0.643,S.Cerrado
4620,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104980,0.644,S.Cerrado
4625,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105066,0.643,S.Cerrado
4630,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105069,0.644,S.Cerrado
4635,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105007,0.644,S.Cerrado
4640,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.105009,0.644,S.Cerrado
4645,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.105031,0.644,S.Cerrado
4650,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.105004,0.644,S.Cerrado
4655,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.104962,0.644,S.Cerrado
4660,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.104928,0.644,S.Cerrado
4665,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.104956,0.644,S.Cerrado
4670,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.104998,0.644,S.Cerrado
4675,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.105064,0.643,S.Cerrado
4680,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.105035,0.643,S.Cerrado
4685,0.287,3.13,1.8,0.734,0.0012,1.559,84.115,0.104990,0.643,S.Cerrado
4690,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105057,0.643,S.Cerrado
4695,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105109,0.643,S.Cerrado
4700,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.105000,0.644,S.Cerrado
4705,0.287,3.13,1.8,0.734,0.0012,1.558,84.116,0.105137,0.643,S.Cerrado
4710,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105002,0.643,S.Cerrado
4715,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105036,0.643,S.Cerrado
4720,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.104976,0.643,S.Cerrado
4725,0.287,3.13,1.8,0.734,0.0012,1.559,84.116,0.105032,0.642,S.Cerrado
4730,0.279,3.13,1.8,0.734,0.0012,1.567,83.918,0.103835,0.643,S.Cerrado
4735,0.277,3.13,1.8,0.734,0.0012,1.581,83.534,0.101313,0.643,S.Cerrado
4740,0.276,3.13,1.8,0.734,0.0012,1.593,83.160,0.098459,0.642,S.Cerrado
4745,0.274,3.13,1.8,0.734,0.0012,1.606,82.757,0.095214,0.642,S.Cerrado
4750,0.273,3.13,1.8,0.734,0.0012,1.621,82.292,0.091124,0.641,S.Cerrado
4755,0.273,3.13,1.8,0.734,0.0012,1.634,81.879,0.087102,0.641,S.Cerrado
4760,0.273,3.13,1.8,0.734,0.0012,1.646,81.511,0.083067,0.639,S.Cerrado
4765,0.273,3.13,1.8,0.734,0.0012,1.657,81.185,0.079281,0.639,S.Cerrado
4770,0.273,3.13,1.8,0.734,0.0012,1.669,80.896,0.075614,0.638,S.Cerrado
4775,0.273,3.13,1.8,0.734,0.0012,1.680,80.642,0.072072,0.638,S.Cerrado
4780,0.273,3.13,1.8,0.734,0.0012,1.692,80.419,0.068875,0.638,S.Cerrado
4785,0.273,3.13,1.8,0.734,0.0012,1.703,80.228,0.065855,0.638,S.Cerrado
4790,0.273,3.13,1.8,0.734,0.0012,1.714,80.064,0.063111,0.636,S.Cerrado
4795,0.273,3.13,1.8,0.734,0.0012,1.725,79.924,0.060786,0.634,S.Cerrado
4800,0.273,3.13,1.8,0.734,0.0012,1.735,79.805,0.058740,0.633,S.Cerrado
4805,0.273,3.13,1.8,0.734,0.0012,1.745,79.705,0.056949,0.632,S.Cerrado
4810,0.273,3.13,1.8,0.734,0.0012,1.754,79.621,0.055526,0.630,S.Cerrado
4815,0.273,3.13,1.8,0.734,0.0012,1.762,79.552,0.054425,0.628,S.Cerrado
4820,0.272,3.13,1.8,0.734,0.0012,1.769,79.477,0.053576,0.626,S.Cerrado
4825,0.269,3.13,1.8,0.734,0.0012,1.779,79.287,0.052515,0.623,S.Cerrado
4830,0.269,3.13,1.8,0.734,0.0012,1.793,78.937,0.051041,0.620,S.Cerrado
4835,0.269,3.13,1.8,0.734,0.0012,1.805,78.614,0.049772,0.616,S.Cerrado
4840,0.269,3.13,1.8,0.734,0.0012,1.816,78.315,0.048770,0.612,S.Cerrado
4845,0.269,3.13,1.8,0.734,0.0012,1.826,78.036,0.047670,0.608,S.Cerrado
4850,0.269,3.13,1.8,0.734,0.0012,1.835,77.775,0.046687,0.603,S.Cerrado
4855,0.269,3.13,1.8,0.734,0.0012,1.844,77.530,0.045706,0.598,S.Cerrado
4860,0.269,3.13,1.8,0.734,0.0012,1.851,77.299,0.044828,0.593,S.Cerrado
4865,0.269,3.13,1.8,0.734,0.0012,1.858,77.081,0.043990,0.588,S.Cerrado
4870,0.269,3.13,1.8,0.734,0.0012,1.865,76.877,0.043169,0.582,S.Cerrado
4875,0.269,3.13,1.8,0.734,0.0012,1.871,76.684,0.042428,0.576,S.Cerrado
4880,0.269,3.13,1.8,0.734,0.0012,1.876,76.502,0.041713,0.569,S.Cerrado
4885,0.269,3.13,1.8,0.734,0.0012,1.881,76.331,0.041133,0.563,S.Cerrado
4890,0.269,3.13,1.8,0.734,0.0012,1.886,76.169,0.040437,0.555,S.Cerrado
4895,0.269,3.13,1.8,0.734,0.0012,1.890,76.015,0.039920,0.548,S.Cerrado
4900,0.269,3.13,1.8,0.734,0.0012,1.894,75.870,0.039387,0.541,S.Cerrado
4905,0.269,3.13,1.8,0.734,0.0012,1.898,75.732,0.038891,0.533,S.Cerrado
4910,0.269,3.13,1.8,0.734,0.0012,1.901,75.601,0.038531,0.525,S.Cerrado
4915,0.269,3.13,1.8,0.734,0.0012,1.905,75.477,0.038112,0.519,S.Cerrado
4920,0.269,3.13,1.8,0.734,0.0012,1.907,75.358,0.037658,0.512,S.Cerrado
4925,0.269,3.13,1.8,0.734,0.0012,1.910,75.244,0.037267,0.507,S.Cerrado
4930,0.269,3.13,1.8,0.734,0.0012,1.912,75.136,0.036978,0.500,S.Cerrado
4935,0.269,3.13,1.8,0.734,0.0012,1.914,75.033,0.036658,0.495,S.Cerrado
4940,0.269,3.13,1.8,0.734,0.0012,1.916,74.934,0.036200,0.488,S.Cerrado
4945,0.269,3.13,1.8,0.734,0.0012,1.918,74.840,0.036017,0.481,S.Cerrado
4950,0.269,3.13,1.8,0.734,0.0012,1.920,74.751,0.035779,0.474,S.Cerrado
4955,0.269,3.13,1.8,0.734,0.0012,1.922,74.666,0.035550,0.467,S.Cerrado
4960,0.269,3.13,1.8,0.734,0.0012,1.924,74.585,0.035182,0.461,S.Cerrado
4965,0.269,3.13,1.8,0.734,0.0012,1.925,74.507,0.034878,0.455,S.Cerrado
4970,0.269,3.13,1.8,0.734,0.0012,1.927,74.432,0.034729,0.449,S.Cerrado
4975,0.269,3.13,1.8,0.734,0.0012,1.928,74.361,0.034468,0.443,S.Cerrado
4980,0.269,3.13,1.8,0.734,0.0012,1.930,74.293,0.034209,0.437,S.Cerrado
4985,0.269,3.13,1.8,0.734,0.0012,1.931,74.228,0.034098,0.431,S.Cerrado
4990,0.269,3.13,1.8,0.734,0.0012,1.932,74.165,0.033838,0.425,S.Cerrado
4995,0.269,3.13,1.8,0.734,0.0012,1.933,74.106,0.033704,0.420,S.Cerrado
