t,PowerBase,PowerLive,beta,sigma,noise,band,Th,Tc,Tf,envTemp,stress,LF,deltaStruct,A_sys_env,LF_exp,Lambda_exp,Regimen
19160,1.000,1.089,0.763,6.8,0.0079,1.600,13.890,13.495,13.943,0.000,13.882,0.026,0.199,0.853,0.089,0.003,CERRADO
19165,1.000,1.098,0.763,6.8,0.0079,1.600,13.942,13.539,13.983,0.000,13.943,0.032,0.199,0.851,0.098,0.004,CERRADO
19170,1.000,1.106,0.763,6.8,0.0079,1.600,13.994,13.584,14.036,0.000,13.983,0.036,0.199,0.848,0.106,0.004,CERRADO
19175,1.000,1.113,0.763,6.8,0.0079,1.600,14.044,13.628,14.056,0.000,14.036,0.041,0.199,0.846,0.113,0.005,CERRADO
19180,1.000,1.120,0.763,6.8,0.0079,1.600,14.095,13.672,14.120,0.000,14.056,0.046,0.199,0.842,0.120,0.005,CERRADO
19185,1.000,1.127,0.763,6.8,0.0079,1.600,14.144,13.717,14.155,0.000,14.120,0.050,0.199,0.840,0.127,0.005,CERRADO
19190,1.000,1.132,0.763,6.8,0.0079,1.600,14.196,13.763,14.235,0.000,14.155,0.055,0.199,0.835,0.132,0.005,CERRADO
19195,1.000,1.138,0.763,6.8,0.0079,1.600,14.245,13.807,14.261,0.000,14.235,0.058,0.199,0.834,0.138,0.006,CERRADO
19200,1.000,1.143,0.763,6.8,0.0079,1.600,14.293,13.852,14.293,0.000,14.261,0.062,0.199,0.832,0.143,0.006,CERRADO
19205,1.000,1.147,0.763,6.8,0.0079,1.600,14.342,13.897,14.350,0.000,14.293,0.066,0.199,0.828,0.147,0.006,CERRADO
19210,1.000,1.152,0.763,6.8,0.0079,1.600,14.390,13.941,14.394,0.000,14.350,0.069,0.199,0.825,0.152,0.006,CERRADO
19215,1.000,1.156,0.763,6.8,0.0079,1.600,14.434,13.984,14.391,0.000,14.394,0.072,0.199,0.825,0.156,0.006,CERRADO
19220,1.000,1.159,0.763,6.8,0.0079,1.600,14.475,14.025,14.397,0.000,14.391,0.075,0.199,0.825,0.159,0.006,CERRADO
19225,1.000,1.162,0.763,6.8,0.0079,1.600,14.513,14.063,14.392,0.000,14.397,0.078,0.199,0.825,0.162,0.007,CERRADO
19230,1.000,1.165,0.763,6.8,0.0079,1.600,14.551,14.102,14.439,0.000,14.392,0.080,0.199,0.822,0.165,0.007,CERRADO
19235,1.000,1.168,0.763,6.8,0.0079,1.600,14.589,14.141,14.485,0.000,14.439,0.082,0.200,0.820,0.168,0.007,CERRADO
19240,1.000,1.171,0.763,6.8,0.0079,1.600,14.627,14.180,14.513,0.000,14.485,0.084,0.200,0.818,0.171,0.007,CERRADO
19245,0.974,1.173,0.763,6.8,0.0079,1.570,14.663,14.217,14.527,0.000,14.513,0.086,0.200,0.817,0.173,0.007,TRANSICIÓN
19250,0.949,1.173,0.763,6.8,0.0079,1.542,14.697,14.253,14.546,0.000,14.527,0.109,0.201,0.812,0.199,0.009,TRANSICIÓN
