[E5.5-2] inicio 2026-07-24 20:51:30
[calibracion D] eps_ref=0.001 semillas=20 D=0.00084137
[calibracion MAX_STEPS] eps_ref=0.001 semillas=16 mediana_lavado_r0=5300 CAP_MULT=10 MAX_STEPS=53000 lavo_todas=True tiempos=[5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300]
[grid] eps=11 r=14 semillas=12 celdas=154 celdas_simuladas=140 corridas_evolucion=1680
[celda] eps=1 r_target=0.005623 H=4.73135e-06 t_muerte_med=53000 frac_censurada=10/12 pasos_corridos=53000
[celda] eps=1 r_target=0.01 H=8.41367e-06 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1 r_target=0.01778 H=1.49619e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1 r_target=0.03162 H=2.66064e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1 r_target=0.05623 H=4.73135e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1 r_target=0.1 H=8.41367e-05 t_muerte_med=53000 frac_censurada=10/12 pasos_corridos=53000
[celda] eps=1 r_target=0.1778 H=0.000149619 t_muerte_med=53000 frac_censurada=7/12 pasos_corridos=53000
[celda] eps=1 r_target=0.3162 H=0.000266064 t_muerte_med=51375 frac_censurada=6/12 pasos_corridos=53000
[celda] eps=1 r_target=0.5623 H=0.000473135 t_muerte_med=49625 frac_censurada=6/12 pasos_corridos=53000
[celda] eps=1 r_target=1 H=0.000841367 t_muerte_med=42550 frac_censurada=4/12 pasos_corridos=53000
[archivo] /Users/alexis/Desktop/RMD/Cosmolab/Cosmogenesis/BATERIA_ENFOQUE5/E5_5_2_tiempo_muerte_termica/E5_5_2_resultado_crudo.json
[control_eps0_trivial] True {'n': 14, 'max_t_muerte_mediana': 0.0}
[control_r0_lava_mayoria] True {'mean_frac_censurada_r0': 0.0, 'n': 10}
[divergencia_en_umbral_conocido] {'frac_censurada_media_r_menor_umbral': 0.73125, 'frac_censurada_media_r_mayor_igual_umbral': 0.6033333333333334, 'n_below': 80, 'n_at_above': 50, 'diverge_como_se_predijo': False}
[elapsed] 7760.1s
