instancia,duracion_inicial,omega_bigbang_neg,omega_bigbang_pos_final
H0,0,0.6506447159800265,0.7608534502707708
H15,15,0.6506185629149942,0.7608539333485427
H30,30,0.6506746160279524,0.7608510941708133
H45,45,0.6506845373144142,0.7608459509175498
H60,60,0.6506606058601028,0.760850393487725
H75,75,0.6506903258762854,0.7608485524312949
H90,90,0.6506687431655552,0.7608527085641495
H105,105,0.6506716076853747,0.7608540678659971
H120,120,0.6506806139810963,0.7608541375378906
