anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,0.00,98.08,0.00,1.92,CIERRE
1967,0.00,100.00,0.00,0.00,CIERRE
1968,0.00,98.09,0.00,1.91,CIERRE
1969,0.00,98.09,0.00,1.91,CIERRE
1970,0.00,100.00,0.00,0.00,CIERRE
1971,0.00,100.00,0.00,0.00,CIERRE
1972,0.00,100.00,0.00,0.00,CIERRE
1973,0.00,98.09,0.00,1.91,CIERRE
1974,0.00,100.00,0.00,0.00,CIERRE
1975,0.00,98.09,0.00,1.91,CIERRE
1976,0.00,100.00,0.00,0.00,CIERRE
1977,0.00,100.00,0.00,0.00,CIERRE
1978,0.00,100.00,0.00,0.00,CIERRE
1979,0.00,100.00,0.00,0.00,CIERRE
1980,0.00,100.00,0.00,0.00,CIERRE
1981,0.00,1.92,7.66,90.42,COLAPSO
1982,0.00,0.00,1.92,98.08,COLAPSO
1983,0.00,0.00,9.59,90.41,COLAPSO
1984,0.00,0.00,3.84,96.16,COLAPSO
1985,0.00,0.00,9.58,90.42,COLAPSO
1986,0.00,0.00,1.92,98.07,COLAPSO
1987,0.00,0.00,13.43,86.57,COLAPSO
1988,0.00,0.00,9.59,90.41,COLAPSO
1989,0.00,0.00,7.67,92.33,COLAPSO
1990,0.00,0.00,9.58,90.42,COLAPSO
1991,0.00,1.92,5.75,92.33,COLAPSO
1992,0.00,0.00,7.66,92.34,COLAPSO
1993,0.00,0.00,9.59,90.41,COLAPSO
1994,0.00,0.00,0.01,99.99,COLAPSO
1995,0.00,0.00,3.84,96.16,COLAPSO
1996,0.00,0.00,1.92,98.08,COLAPSO
1997,0.00,0.00,3.83,96.16,COLAPSO
1998,0.00,0.00,3.83,96.17,COLAPSO
1999,0.00,0.00,0.00,99.99,COLAPSO
2000,0.00,0.00,5.75,94.25,COLAPSO
2001,0.00,0.00,3.84,96.16,COLAPSO
2002,0.00,0.01,9.58,90.41,COLAPSO
2003,0.00,0.00,7.67,92.33,COLAPSO
2004,0.00,0.00,0.00,99.99,COLAPSO
2005,0.00,0.00,3.84,96.16,COLAPSO
2006,0.00,0.00,3.84,96.16,COLAPSO
2007,0.00,0.00,3.84,96.16,COLAPSO
2008,0.00,0.00,0.00,100.00,COLAPSO
2009,0.00,0.00,7.67,92.33,COLAPSO
2010,0.00,0.00,9.58,90.42,COLAPSO
2011,0.00,0.00,1.92,98.08,COLAPSO
2012,0.00,0.00,11.50,88.50,COLAPSO
2013,0.00,0.00,7.66,92.34,COLAPSO
2014,0.00,0.00,3.84,96.16,COLAPSO
2015,0.00,0.00,7.67,92.33,COLAPSO
2016,0.00,0.00,11.52,88.48,COLAPSO
2017,0.00,0.00,5.75,94.25,COLAPSO
2018,0.00,0.00,7.67,92.33,COLAPSO
2019,0.00,0.00,15.34,84.66,COLAPSO
2020,0.00,0.01,5.74,94.25,COLAPSO
2021,0.00,0.00,3.83,96.17,COLAPSO
2022,0.00,0.00,11.50,88.50,COLAPSO
2023,0.00,0.00,7.67,92.33,COLAPSO
2024,0.00,0.00,13.42,86.58,COLAPSO
2025,0.00,0.00,13.42,86.58,COLAPSO
2026,0.00,38.63,13.42,47.96,COLAPSO
2027,0.00,100.00,0.00,0.00,CIERRE
