anio,anillo_san_gabriel,arboles_san_gabriel,anillo_el_asiento,arboles_el_asiento,lluvia_mm_medida,inundacion_documentada
1224,0.824,4,1.1,2,,
1225,0.729,4,1.075,2,,
1226,0.811,4,1.079,2,,
1227,0.76,4,1.102,2,,
1228,0.804,4,1.283,2,,
1229,1.345,4,1.537,2,,
1230,0.854,4,1.524,2,,
1231,1.077,4,1.432,3,,
1232,0.935,4,1.615,3,,
1233,0.707,4,1.194,3,,
1234,0.814,4,1.347,3,,
1235,0.876,4,1.135,3,,
1236,0.836,4,1.378,3,,
1237,0.878,4,1.06,3,,
1238,1.04,4,1.227,3,,
1239,0.872,4,0.96,3,,
1240,0.801,4,1.331,4,,
1241,1.135,4,1.149,5,,
1242,1.499,4,1.025,5,,
1243,1.11,4,1.114,5,,
1244,1.169,4,0.962,5,,
1245,1.032,4,1.294,5,,
1246,0.724,4,1.196,5,,
1247,0.83,4,1.25,5,,
1248,0.778,4,1.129,5,,
1249,1.283,4,1.301,5,,
1250,0.866,4,1.347,5,,
1251,1.059,4,1.182,5,,
1252,1.041,4,1.284,6,,
1253,0.819,4,1.037,6,,
1254,0.77,4,1.209,6,,
1255,0.814,4,1.216,6,,
1256,0.658,4,0.881,6,,
1257,0.884,4,1.097,6,,
1258,1.035,4,1.296,6,,
1259,1.178,4,1.209,6,,
1260,0.731,4,1.348,6,,
1261,0.745,4,1.384,6,,
1262,0.73,4,1.092,6,,
1263,0.827,4,1.247,6,,
1264,0.794,4,1.082,6,,
1265,1.008,4,0.933,6,,
1266,0.905,4,0.996,6,,
1267,0.984,4,1.14,6,,
1268,1.08,4,1.12,6,,
1269,1.137,4,1.229,6,,
1270,1.275,4,1.268,6,,
1271,0.525,4,0.949,6,,
1272,0.567,4,0.971,6,,
1273,0.761,4,1.067,6,,
1274,0.996,4,1.159,6,,
1275,1.71,4,1.553,6,,
1276,1.836,5,1.009,6,,
1277,1.542,5,1.433,6,,
1278,1.366,5,1.18,6,,
1279,0.855,5,1.034,6,,
1280,0.769,5,0.939,6,,
1281,0.967,5,1.406,6,,
1282,0.871,5,1.135,6,,
1283,1.054,5,1.092,6,,
1284,1.205,5,0.917,6,,
1285,0.894,5,0.966,6,,
1286,1.11,5,1.095,6,,
1287,0.914,5,0.914,6,,
1288,0.679,5,0.938,6,,
1289,0.874,5,0.992,6,,
1290,0.721,5,0.883,6,,
1291,0.722,5,0.916,6,,
1292,0.76,5,1.08,6,,
1293,0.883,5,1.105,6,,
1294,0.918,5,1.133,6,,
1295,0.871,5,1.177,6,,
1296,0.873,5,1.189,6,,
1297,0.77,5,1.095,6,,
1298,0.92,5,1.092,6,,
1299,0.583,5,0.93,6,,
1300,0.751,5,0.926,7,,
1301,0.841,5,0.956,6,,
1302,0.758,5,0.732,6,,
1303,0.931,5,0.715,6,,
1304,1.037,5,0.313,6,,
1305,1.227,5,0.608,6,,
1306,1.281,5,0.937,6,,
1307,1.23,5,1.101,6,,
1308,1.154,6,1.232,6,,
1309,0.818,6,1.015,6,,
1310,0.735,6,0.816,6,,
1311,0.791,7,0.883,6,,
1312,0.761,7,0.935,6,,
1313,0.95,7,0.849,6,,
1314,0.925,7,0.89,7,,
1315,0.785,7,0.887,7,,
1316,1.122,7,0.893,7,,
1317,1.221,7,0.952,7,,
1318,0.978,7,0.887,7,,
1319,0.885,7,0.975,7,,
1320,0.949,7,0.906,7,,
1321,1.204,7,1.104,7,,
1322,1.15,7,0.942,7,,
1323,1.375,7,1.005,7,,
1324,1.09,7,0.759,7,,
1325,0.912,7,0.699,7,,
1326,1.003,7,0.518,7,,
1327,1.119,7,0.863,7,,
1328,0.981,7,0.846,7,,
1329,1.155,7,0.936,7,,
1330,1.359,7,1.07,7,,
1331,1.358,7,1.151,7,,
1332,1.094,7,1.153,7,,
1333,1.293,7,1.11,7,,
1334,1.647,7,1.329,7,,
1335,1.335,8,0.943,7,,
1336,1.373,8,0.884,7,,
1337,1.384,8,0.817,7,,
1338,1.212,8,0.807,7,,
1339,0.92,8,0.66,7,,
1340,0.816,8,0.846,7,,
1341,0.794,8,0.679,7,,
1342,0.797,8,0.696,7,,
1343,1.054,8,0.825,7,,
1344,0.9,8,0.23,7,,
1345,0.912,8,0.736,7,,
1346,0.852,8,0.837,7,,
1347,0.97,8,0.944,7,,
1348,1.039,8,0.92,7,,
1349,0.972,8,1.008,7,,
1350,0.889,8,0.984,7,,
1351,1.159,8,1.03,7,,
1352,1.055,8,1.105,7,,
1353,0.743,8,0.887,7,,
1354,0.468,8,0.964,7,,
1355,0.637,8,1.149,7,,
1356,0.807,8,1.169,7,,
1357,0.993,8,1.221,7,,
1358,0.948,8,1.146,8,,
1359,0.955,8,1.003,8,,
1360,0.912,8,1.032,8,,
1361,0.869,8,1.04,8,,
1362,1.108,8,0.984,8,,
1363,0.789,8,0.827,8,,
1364,0.895,8,0.927,8,,
1365,0.952,8,0.92,8,,
1366,1.026,8,1.102,8,,
1367,1.175,8,1.002,8,,
1368,1.223,8,1.023,8,,
1369,1.05,8,0.951,8,,
1370,1.197,8,0.841,8,,
1371,0.955,8,0.785,8,,
1372,1.134,8,0.841,8,,
1373,1.256,8,1.12,8,,
1374,1.332,9,1.214,8,,
1375,1.212,9,0.996,8,,
1376,1.21,9,0.992,8,,
1377,1.172,9,0.911,8,,
1378,0.998,9,0.748,9,,
1379,1.09,9,0.855,9,,
1380,1.19,9,0.89,9,,
1381,0.476,9,0.413,9,,
1382,0.755,9,0.548,9,,
1383,1.37,9,0.874,9,,
1384,1.248,9,0.799,9,,
1385,1.167,9,0.717,9,,
1386,1.143,9,0.798,9,,
1387,1.436,9,0.949,9,,
1388,1.491,9,0.919,9,,
1389,1.481,9,0.689,9,,
1390,1.567,9,0.805,9,,
1391,0.958,9,0.904,9,,
1392,0.62,9,0.854,9,,
1393,0.826,9,0.92,9,,
1394,0.847,9,0.876,9,,
1395,1.036,9,0.955,9,,
1396,1.257,9,0.753,9,,
1397,1.705,9,0.79,9,,
1398,1.594,9,1.202,9,,
1399,1.303,9,0.906,9,,
1400,1.327,9,0.954,9,,
1401,1.381,9,1.11,9,,
1402,1.144,9,0.773,9,,
1403,1.205,9,0.765,9,,
1404,1.35,9,0.93,9,,
1405,0.941,9,0.757,9,,
1406,0.918,9,0.596,9,,
1407,1.016,9,0.732,9,,
1408,1.174,9,0.742,9,,
1409,0.785,9,0.486,9,,
1410,0.907,9,0.699,9,,
1411,0.986,9,0.754,9,,
1412,1.047,9,0.877,9,,
1413,1.448,9,1.077,9,,
1414,1.533,9,0.948,9,,
1415,1.311,9,0.897,9,,
1416,1.169,9,0.873,9,,
1417,0.935,9,0.837,9,,
1418,1.028,9,0.837,9,,
1419,1.062,9,0.693,9,,
1420,1.266,9,0.703,9,,
1421,1.319,9,0.882,9,,
1422,1.181,9,0.803,9,,
1423,0.92,9,0.583,9,,
1424,1.053,9,0.727,9,,
1425,1.164,9,0.9,9,,
1426,1.39,9,0.887,10,,
1427,1.258,9,0.942,10,,
1428,1.299,9,0.847,10,,
1429,0.967,9,0.645,10,,
1430,1.074,9,0.673,10,,
1431,1.191,9,0.858,10,,
1432,0.938,9,0.734,10,,
1433,1.198,9,0.712,10,,
1434,1.205,9,0.827,10,,
1435,0.763,9,0.748,10,,
1436,0.87,9,1.028,11,,
1437,0.978,9,0.895,12,,
1438,0.749,9,0.767,12,,
1439,1.01,9,0.789,12,,
1440,0.847,9,0.406,12,,
1441,1.003,9,0.789,11,,
1442,0.951,9,0.992,11,,
1443,0.865,9,0.937,11,,
1444,1.163,9,0.86,11,,
1445,1.252,9,0.825,11,,
1446,1.112,9,1.104,11,,
1447,1.142,9,1.297,11,,
1448,0.838,9,1.208,11,,
1449,0.784,9,1.305,11,,
1450,0.971,9,1.251,11,,
1451,1.015,9,1.322,11,,
1452,0.692,9,1.09,11,,
1453,0.835,9,1.221,11,,
1454,0.801,9,1.06,11,,
1455,0.719,9,0.935,11,,
1456,0.604,9,0.901,11,,
1457,0.638,8,0.96,11,,
1458,0.299,8,0.439,11,,
1459,0.366,8,0.563,11,,
1460,0.76,8,0.736,11,,
1461,0.721,8,0.944,11,,
1462,0.907,8,1.1,11,,
1463,0.716,8,0.996,11,,
1464,0.71,8,1.118,11,,
1465,0.724,8,1.151,11,,
1466,0.776,8,1.26,11,,
1467,0.733,8,1.229,11,,
1468,0.595,7,1.879,11,,
1469,0.915,7,1.562,11,,
1470,0.871,7,1.444,11,,
1471,0.771,7,1.547,11,,
1472,0.617,7,1.295,11,,
1473,0.487,7,1.115,11,,
1474,0.683,7,1.139,11,,
1475,0.77,7,1.165,11,,
1476,0.514,7,1.136,11,,
1477,0.632,7,1.091,11,,
1478,0.506,7,0.976,11,,
1479,0.608,7,1.079,11,,
1480,0.635,8,1.036,11,,
1481,0.565,8,0.797,11,,
1482,0.55,8,0.911,11,,
1483,0.635,8,0.849,11,,
1484,0.703,8,0.997,11,,
1485,0.787,8,0.964,11,,
1486,0.748,8,1.247,11,,
1487,0.726,8,1.258,12,,
1488,0.909,8,1.182,12,,
1489,1.103,8,1.297,12,,
1490,1.311,8,1.316,13,,
1491,0.981,8,1.102,13,,
1492,1.014,8,1.205,13,,
1493,1.317,8,1.147,13,,
1494,0.991,8,1.282,13,,
1495,1.13,8,1.158,13,,
1496,1.08,8,1.185,13,,
1497,0.876,8,0.673,13,,
1498,0.852,8,0.927,13,,
1499,0.855,8,0.839,13,,
1500,0.833,8,0.853,13,,
1501,1.037,8,0.948,13,,
1502,1.061,8,1.059,13,,
1503,0.791,8,1.048,13,,
1504,0.877,8,1.152,13,,
1505,0.94,8,1.371,13,,
1506,1.025,8,1.022,13,,
1507,0.772,8,0.921,13,,
1508,0.667,8,1.022,13,,
1509,0.633,8,1.271,13,,
1510,0.742,8,1.15,13,,
1511,0.875,8,1.292,13,,
1512,1.003,6,0.872,13,,
1513,1.384,6,0.897,13,,
1514,0.983,6,0.921,13,,
1515,0.96,6,1.054,14,,
1516,0.999,6,0.943,14,,
1517,1.051,6,1.191,14,,
1518,0.718,6,1.119,14,,
1519,0.769,6,0.979,14,,
1520,0.847,6,1.238,14,,
1521,0.869,7,1.07,14,,
1522,0.974,8,0.656,14,,
1523,1.116,8,1.151,14,,
1524,0.838,8,1.004,14,,
1525,1.205,8,1.116,14,,
1526,1.455,8,1.232,15,,
1527,0.98,8,0.961,16,,
