anio,anillo_san_gabriel,arboles_san_gabriel,anillo_el_asiento,arboles_el_asiento,lluvia_mm_medida,inundacion_documentada
1844,1.191,53,0.929,54,,
1845,1.126,53,1.268,54,,
1846,1.157,53,1.167,54,,
1847,1.069,53,1.068,54,,
1848,1.294,53,1.207,54,,
1849,1.389,53,1.155,55,,
1850,1.264,56,1.259,56,,
1851,1.415,56,1.158,56,,
1852,1.215,56,0.962,56,,
1853,0.827,56,0.852,56,,
1854,0.928,56,0.913,56,,
1855,1.176,56,1.199,56,,
1856,1.179,56,1.242,56,,
1857,1.087,56,1.197,56,,
1858,1.401,56,1.214,56,,
1859,0.931,56,1.025,56,,
1860,0.916,55,1.061,56,,
1861,1.065,55,1.107,56,,
1862,1.236,55,1.244,56,,
1863,0.759,54,0.244,56,,
1864,0.842,53,0.871,56,,
1865,0.698,53,0.82,56,,
1866,0.745,53,0.73,56,,
1867,0.842,53,0.936,56,,
1868,1.002,53,0.954,56,,
1869,0.956,53,0.814,56,,
1870,1.284,53,1.279,56,,
1871,1.151,53,1.216,56,,
1872,1.015,53,0.975,56,,
1873,1.054,53,1.084,56,,
1874,1.42,53,1.205,56,,
1875,1.323,53,0.986,56,,
1876,1.372,53,0.968,56,,
1877,1.063,55,1.081,56,,
1878,0.994,55,1.06,56,,
1879,0.645,55,0.669,56,,
1880,0.757,55,0.998,56,,
1881,1.116,53,1.203,55,,
1882,1.024,53,0.965,55,,
1883,1.067,53,1.24,55,,
1884,1.232,53,1.435,55,,
1885,1.158,53,1.24,55,,
1886,0.777,53,0.348,55,,
1887,0.941,53,1.152,55,,
1888,0.824,51,1.24,55,,
1889,0.771,51,0.95,55,,
1890,0.59,51,1.072,55,,
1891,0.645,50,1.129,55,,
1892,0.67,50,0.453,55,,
1893,0.685,50,0.694,55,,
1894,0.793,50,0.808,55,,
1895,0.895,50,0.81,55,,
1896,0.733,50,0.827,55,,
1897,0.748,50,0.872,55,,
1898,0.882,50,1.157,55,,
1899,0.853,49,1.263,55,,
1900,0.776,49,1.262,56,,
1901,1.018,47,1.211,54,,
1902,1.076,47,1.281,54,,
1903,1.115,47,1.013,54,,
1904,1.438,47,1.243,54,,
1905,1.313,47,1.404,54,,
1906,0.875,47,1.024,54,,
1907,0.88,47,0.964,54,,
1908,0.698,47,0.686,54,,
1909,0.697,47,0.849,54,,
1910,0.741,47,0.716,54,,
1911,0.767,47,0.7,54,,
1912,0.843,46,0.916,54,,
1913,0.596,46,0.852,54,,
1914,0.719,46,1.161,54,,
1915,0.894,46,0.932,54,,
1916,0.853,46,0.7,54,,
1917,0.712,46,0.752,54,,
1918,0.797,46,0.891,54,,
1919,0.872,46,0.957,54,,
1920,0.882,46,1.038,54,,
1921,0.865,46,1.087,54,,
1922,0.676,46,1.099,54,,
1923,0.855,46,1.16,54,,
1924,0.594,46,0.241,54,,
1925,0.534,46,0.899,54,,
1926,0.791,46,1.016,54,,
1927,0.605,46,0.957,54,,
1928,0.815,46,1.064,54,,
1929,0.867,46,1.151,54,,
1930,0.915,46,1.367,53,,
1931,1.091,46,1.338,52,,
1932,0.824,46,1.24,52,,
1933,0.885,46,1.221,52,,
1934,0.883,46,0.971,52,,
1935,0.648,46,0.854,51,,
1936,0.649,46,0.625,51,,
1937,0.777,46,0.966,51,,
1938,0.845,46,0.824,51,,
1939,0.935,46,0.945,51,,
1940,1.088,46,1.133,50,,
1941,1.088,44,1.206,50,,
1942,1.536,44,1.63,50,,
1943,1.192,44,1.004,50,,
1944,1.206,44,1.199,50,,
1945,1.264,44,0.798,50,,
1946,0.88,44,0.614,50,,
1947,0.574,44,0.8,50,,
1948,0.736,43,0.925,50,,
1949,0.736,43,0.795,50,,
1950,1.294,43,1.153,49,,
1951,1.314,43,0.969,48,,
1952,1.07,43,0.836,48,,
1953,1.294,43,1.059,48,,
1954,1.351,43,0.902,48,,
1955,1.369,43,1.056,48,,
1956,1.475,42,1.051,48,,
1957,1.208,42,1.13,47,,
1958,1.131,42,1.039,47,,
1959,1.268,42,0.986,47,,
1960,0.579,41,0.885,47,,
1961,0.79,41,1.14,45,,
1962,0.999,41,1.133,45,,
1963,1.269,41,1.195,45,,
1964,1.335,41,0.983,45,,
1965,1.507,41,1.051,45,,
1966,1.569,41,1.022,45,,
1967,1.19,41,0.864,45,,
1968,0.655,41,0.342,45,,
1969,0.676,41,0.61,44,,
1970,1.364,41,0.85,44,,
1971,1.189,41,0.876,43,,
1972,1.231,38,0.942,36,,
1973,1.518,28,,,,
1974,1.591,28,,,,
1975,1.612,27,,,,
1981,,,,,302.83,
1982,,,,,369.95,
1983,,,,,167.55,
1984,,,,,376.36,
1985,,,,,169.36,
1986,,,,,353.74,
1987,,,,,611.25,
1988,,,,,175.46,
1989,,,,,220.35,
1990,,,,,171.2,
1991,,,,,367.81,
1992,,,,,581.17,
1993,,,,,292.66,
1994,,,,,221.62,
1995,,,,,247.37,
1996,,,,,190.22,
1997,,,,,788.76,
1998,,,,,92.6,
1999,,,,,335.89,
2000,,,,,491.05,
2001,,,,,471.71,
2002,,,,,635.02,
2003,,,,,247.7,
2004,,,,,404.45,
2005,,,,,382.44,
2006,,,,,406.81,
2007,,,,,163.51,
2008,,,,,358.24,
2009,,,,,188.58,
2010,,,,,202.07,
2011,,,,,140.89,
2012,,,,,274.66,
2013,,,,,229.85,
2014,,,,,261.87,
2015,,,,,248.89,
2016,,,,,269.43,
2017,,,,,407.23,
2018,,,,,160.99,
2019,,,,,86.57,
2020,,,,,193.56,
2021,,,,,85.6,
2022,,,,,106.79,
2023,,,,,155.71,
2024,,,,,129.03,
2025,,,,,236.93,
